time	V(out)
3.732436245000255e-03	3.290796e+00
3.737370490000511e-03	3.300998e+00
3.742304735000766e-03	3.309218e+00
3.747238980001021e-03	3.315458e+00
3.752173225001276e-03	3.319717e+00
3.757107470001532e-03	3.321996e+00
3.762041715001787e-03	3.322294e+00
3.766924527501787e-03	3.320973e+00
3.771807340001787e-03	3.317985e+00
3.776690152501787e-03	3.313397e+00
3.781572965001787e-03	3.307272e+00
3.786455777501787e-03	3.299673e+00
3.788390666430103e-03	3.296356e+00
3.790325555358419e-03	3.292812e+00
3.792260444286735e-03	3.289040e+00
3.794195333215051e-03	3.285041e+00
3.796130222143367e-03	3.280815e+00
3.798065111071684e-03	3.276361e+00
3.800000000000000e-03	3.271680e+00
3.800000100000000e-03	3.271680e+00
3.800000300000000e-03	3.271680e+00
3.800000600000000e-03	3.271679e+00
3.800001000000000e-03	3.271678e+00
3.801447521785969e-03	3.268477e+00
3.802894043571939e-03	3.265715e+00
3.804340565357909e-03	3.263390e+00
3.805787087143879e-03	3.261504e+00
3.807233608929848e-03	3.260056e+00
3.808680130715818e-03	3.259047e+00
3.810126652501787e-03	3.258475e+00
3.815009465001787e-03	3.258779e+00
3.819892277501787e-03	3.263107e+00
3.820979237858675e-03	3.264535e+00
3.822066198215562e-03	3.266225e+00
3.823153158572450e-03	3.268178e+00
3.824240118929337e-03	3.270393e+00
3.825327079286225e-03	3.272870e+00
3.826414039643112e-03	3.275610e+00
3.827501000000000e-03	3.278612e+00
3.827501300000000e-03	3.278613e+00
3.827501600000000e-03	3.278614e+00
3.827502000000000e-03	3.278615e+00
3.832436245000255e-03	3.290796e+00
3.837370490000511e-03	3.300998e+00
3.842304735000766e-03	3.309218e+00
3.847238980001021e-03	3.315458e+00
3.852173225001276e-03	3.319717e+00
3.857107470001532e-03	3.321996e+00
3.862041715001787e-03	3.322294e+00
3.866924527501787e-03	3.320973e+00
3.871807340001787e-03	3.317985e+00
3.876690152501787e-03	3.313397e+00
3.881572965001787e-03	3.307272e+00
3.886455777501787e-03	3.299673e+00
3.888390666430103e-03	3.296356e+00
3.890325555358419e-03	3.292812e+00
3.892260444286735e-03	3.289040e+00
3.894195333215051e-03	3.285041e+00
3.896130222143367e-03	3.280815e+00
3.898065111071684e-03	3.276361e+00
3.900000000000000e-03	3.271680e+00
3.900000100000000e-03	3.271680e+00
3.900000300000000e-03	3.271679e+00
3.900000600000000e-03	3.271679e+00
3.900001000000000e-03	3.271678e+00
3.901447521785970e-03	3.268477e+00
3.902894043571939e-03	3.265715e+00
3.904340565357909e-03	3.263390e+00
3.905787087143878e-03	3.261504e+00
3.907233608929848e-03	3.260056e+00
3.908680130715818e-03	3.259047e+00
3.910126652501788e-03	3.258475e+00
3.915009465001788e-03	3.258779e+00
3.919892277501788e-03	3.263106e+00
3.920979237858675e-03	3.264535e+00
3.922066198215562e-03	3.266225e+00
3.923153158572450e-03	3.268178e+00
3.924240118929338e-03	3.270393e+00
3.925327079286225e-03	3.272870e+00
3.926414039643112e-03	3.275610e+00
3.927501000000000e-03	3.278612e+00
3.927501300000000e-03	3.278613e+00
3.927501600000000e-03	3.278614e+00
3.927502000000000e-03	3.278615e+00
3.932436245000255e-03	3.290796e+00
3.937370490000511e-03	3.300997e+00
3.942304735000766e-03	3.309218e+00
3.947238980001022e-03	3.315458e+00
3.952173225001277e-03	3.319717e+00
3.957107470001532e-03	3.321996e+00
3.962041715001787e-03	3.322294e+00
3.966924527501787e-03	3.320972e+00
3.971807340001787e-03	3.317985e+00
3.976690152501787e-03	3.313397e+00
3.981572965001787e-03	3.307272e+00
3.986455777501787e-03	3.299673e+00
3.988390666430103e-03	3.296356e+00
3.990325555358419e-03	3.292812e+00
3.992260444286735e-03	3.289040e+00
3.994195333215052e-03	3.285041e+00
3.996130222143368e-03	3.280815e+00
3.998065111071684e-03	3.276361e+00
4.000000000000000e-03	3.271680e+00
4.000000100000000e-03	3.271680e+00
4.000000300000000e-03	3.271679e+00
4.000000600000000e-03	3.271679e+00
4.000001000000000e-03	3.271678e+00
4.001447521785970e-03	3.268477e+00
4.002894043571939e-03	3.265714e+00
4.004340565357909e-03	3.263390e+00
4.005787087143879e-03	3.261504e+00
4.007233608929849e-03	3.260056e+00
4.008680130715818e-03	3.259047e+00
4.010126652501788e-03	3.258475e+00
4.015009465001788e-03	3.258779e+00
4.019892277501788e-03	3.263106e+00
4.020979237858676e-03	3.264534e+00
4.022066198215562e-03	3.266225e+00
4.023153158572450e-03	3.268178e+00
4.024240118929338e-03	3.270393e+00
4.025327079286226e-03	3.272870e+00
4.026414039643112e-03	3.275610e+00
4.027501000000000e-03	3.278612e+00
4.027501300000001e-03	3.278613e+00
4.027501600000000e-03	3.278614e+00
4.027502000000001e-03	3.278615e+00
4.032436245000256e-03	3.290796e+00
4.037370490000511e-03	3.300997e+00
4.042304735000766e-03	3.309218e+00
4.047238980001022e-03	3.315458e+00
4.052173225001277e-03	3.319717e+00
4.057107470001532e-03	3.321996e+00
4.062041715001788e-03	3.322294e+00
4.066924527501787e-03	3.320972e+00
4.071807340001787e-03	3.317985e+00
4.076690152501787e-03	3.313397e+00
4.081572965001787e-03	3.307272e+00
4.086455777501787e-03	3.299673e+00
4.088390666430103e-03	3.296356e+00
4.090325555358420e-03	3.292811e+00
4.092260444286735e-03	3.289040e+00
4.094195333215052e-03	3.285041e+00
4.096130222143368e-03	3.280814e+00
4.098065111071685e-03	3.276361e+00
4.100000000000000e-03	3.271680e+00
4.100000100000001e-03	3.271680e+00
4.100000300000001e-03	3.271679e+00
4.100000600000001e-03	3.271678e+00
4.100001000000001e-03	3.271677e+00
4.101447521785971e-03	3.268477e+00
4.102894043571940e-03	3.265714e+00
4.104340565357910e-03	3.263390e+00
4.105787087143879e-03	3.261504e+00
4.107233608929849e-03	3.260056e+00
4.108680130715818e-03	3.259047e+00
4.110126652501788e-03	3.258475e+00
4.115009465001788e-03	3.258779e+00
4.119892277501788e-03	3.263106e+00
4.120979237858676e-03	3.264534e+00
4.122066198215563e-03	3.266225e+00
4.123153158572450e-03	3.268177e+00
4.124240118929338e-03	3.270392e+00
4.125327079286226e-03	3.272870e+00
4.126414039643113e-03	3.275610e+00
4.127501000000000e-03	3.278612e+00
4.127501300000000e-03	3.278613e+00
4.127501600000001e-03	3.278613e+00
4.127502000000001e-03	3.278615e+00
4.132436245000256e-03	3.290796e+00
4.137370490000511e-03	3.300997e+00
4.142304735000766e-03	3.309217e+00
4.147238980001022e-03	3.315457e+00
4.152173225001277e-03	3.319717e+00
4.157107470001533e-03	3.321995e+00
4.162041715001788e-03	3.322294e+00
4.166924527501788e-03	3.320972e+00
4.171807340001788e-03	3.317985e+00
4.176690152501788e-03	3.313397e+00
4.181572965001787e-03	3.307272e+00
4.186455777501787e-03	3.299673e+00
4.188374130715817e-03	3.296386e+00
4.190292483929848e-03	3.292875e+00
4.192210837143879e-03	3.289140e+00
4.194129190357909e-03	3.285182e+00
4.196047543571939e-03	3.281000e+00
4.197965896785970e-03	3.276594e+00
4.199884250000000e-03	3.271965e+00
4.199936000000000e-03	3.271837e+00
4.200000000000001e-03	3.271680e+00
4.200000100000000e-03	3.271680e+00
4.200000300000000e-03	3.271679e+00
4.200000600000001e-03	3.271678e+00
4.200001000000001e-03	3.271677e+00
4.201447521785971e-03	3.268477e+00
4.202894043571940e-03	3.265714e+00
4.204340565357910e-03	3.263390e+00
4.205787087143880e-03	3.261504e+00
4.207233608929850e-03	3.260056e+00
4.208680130715819e-03	3.259046e+00
4.210126652501789e-03	3.258475e+00
4.215009465001788e-03	3.258778e+00
4.219892277501788e-03	3.263106e+00
4.220979237858676e-03	3.264534e+00
4.222066198215563e-03	3.266225e+00
4.223153158572451e-03	3.268177e+00
4.224240118929338e-03	3.270392e+00
4.225327079286226e-03	3.272870e+00
4.226414039643113e-03	3.275610e+00
4.227501000000001e-03	3.278612e+00
4.227501300000001e-03	3.278612e+00
4.227501600000001e-03	3.278613e+00
4.227502000000001e-03	3.278614e+00
4.232436245000256e-03	3.290796e+00
4.237370490000511e-03	3.300997e+00
4.242304735000767e-03	3.309217e+00
4.247238980001023e-03	3.315457e+00
4.252173225001278e-03	3.319717e+00
4.257107470001533e-03	3.321995e+00
4.262041715001788e-03	3.322294e+00
4.266924527501788e-03	3.320972e+00
4.271807340001788e-03	3.317985e+00
4.276690152501788e-03	3.313397e+00
4.281572965001788e-03	3.307272e+00
4.286455777501788e-03	3.299673e+00
4.288390666430103e-03	3.296356e+00
4.290325555358420e-03	3.292811e+00
4.292260444286736e-03	3.289039e+00
4.294195333215053e-03	3.285040e+00
4.296130222143368e-03	3.280814e+00
4.298065111071685e-03	3.276361e+00
4.300000000000001e-03	3.271680e+00
4.300000100000000e-03	3.271679e+00
4.300000300000001e-03	3.271679e+00
4.300000600000000e-03	3.271678e+00
4.300001000000000e-03	3.271677e+00
4.301447521785970e-03	3.268477e+00
4.302894043571939e-03	3.265714e+00
4.304340565357909e-03	3.263390e+00
4.305787087143879e-03	3.261504e+00
4.307233608929849e-03	3.260056e+00
4.308680130715818e-03	3.259046e+00
4.310126652501788e-03	3.258475e+00
4.315009465001788e-03	3.258778e+00
